year,country,top_uni,top_rank,top_score,threshold,score_gap,entered_top100
2017,United States,Massachusetts Institute of Technology (MIT) ,1,100.0,62.8,37.2,1
2017,United Kingdom,University of Cambridge,4,97.2,62.8,34.4,1
2017,Switzerland,ETH Zurich - Swiss Federal Institute of Technology,8,94.2,62.8,31.4,1
2017,Singapore,National University of Singapore (NUS),12,91.5,62.8,28.7,1
2017,Australia,The Australian National University,22,87.3,62.8,24.5,1
2017,China (Mainland),Tsinghua University,24,86.0,62.8,23.2,1
2017,Hong Kong SAR,The University of Hong Kong,27,85.4,62.8,22.6,1
2017,Canada,McGill University,30,84.1,62.8,21.3,1
2017,France,"Ecole normale supérieure, Paris",33,79.9,62.8,17.1,1
2017,Japan,The University of Tokyo,34,82.6,62.8,19.8,1
2017,South Korea,Seoul National University,35,82.1,62.8,19.3,1
2017,Netherlands,University of Amsterdam,57,74.3,62.8,11.5,1
2017,Germany,Technical University of Munich,60,72.4,62.8,9.6,1
2017,Taiwan,National Taiwan University (NTU),68,70.2,62.8,7.4,1
2017,Denmark,University of Copenhagen,68,70.2,62.8,7.4,1
2017,Sweden,Lund University,73,69.1,62.8,6.3,1
2017,Belgium,KU Leuven,79,67.9,62.8,5.1,1
2017,New Zealand,The University of Auckland,81,67.3,62.8,4.5,1
2017,Argentina,Universidad de Buenos Aires (UBA),85,65.8,62.8,3.0,1
2017,Finland,University of Helsinki,91,64.7,62.8,1.9,1
2017,Ireland,"Trinity College Dublin, The University of Dublin",98,62.8,62.8,0.0,1
2017,Russia,Lomonosov Moscow State University,108,62.1,62.8,-0.7,0
2017,Norway,University of Oslo,113,60.0,62.8,-2.8,0
2017,Brazil,Universidade de São Paulo,120,59.0,62.8,-3.8,0
2017,Mexico,Universidad Nacional Autónoma de México  (UNAM),128,58.3,62.8,-4.5,0
2017,Malaysia,Universiti Malaya (UM),133,57.1,62.8,-5.7,0
2017,Chile,Pontificia Universidad Católica de Chile (UC),147,54.7,62.8,-8.1,0
2017,Israel,The Hebrew University of Jerusalem,148,54.2,62.8,-8.6,0
2017,India,Indian Institute of Science,152,53.8,62.8,-9.0,0
2017,Austria,University of Vienna,155,53.3,62.8,-9.5,0
