year,country,institution,uni_rank,uni_score,score_gap_parent,entered_top100_parent,top_uni_parent
2018,United States,Stanford University,2,98.7,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Harvard University,3,98.4,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,California Institute of Technology (Caltech),4,97.7,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,University of Chicago,9,93.5,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Princeton University,13,91.0,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Cornell University,14,90.7,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Yale University,16,90.4,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Johns Hopkins University,17,89.8,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Columbia University,18,88.9,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,University of Pennsylvania,19,88.7,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,"University of California, Berkeley (UCB)",27,84.9,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,"University of California, Los Angeles (UCLA)",33,83.6,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,New York University (NYU),52,77.3,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Brown University,53,76.5,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,University of Wisconsin-Madison,55,75.8,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,University of Washington,61,72.9,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,University of Texas at Austin,67,70.6,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,University of Illinois at Urbana-Champaign,69,70.3,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Georgia Institute of Technology,70,70.1,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,"University of North Carolina, Chapel Hill",80,67.8,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Boston University,81,67.2,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,The Ohio State University,86,66.1,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Rice University,89,65.6,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Washington University in St. Louis,100,64.6,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Purdue University,105,63.2,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,"University of California, Davis",118,60.4,35.4,1,Massachusetts Institute of Technology (MIT) 
