gap_bin,gap_mean,score_mean,n,se
0,-37.739999999999995,25.22,5,1.5405843047363559
1,-32.724999999999994,24.8,4,0.3188521078284829
2,-27.872,28.576,25,0.8662617002576839
3,-25.475862068965515,29.73103448275862,29,0.8503998400097265
4,-20.577272727272728,32.481818181818184,44,0.8840629869990834
5,-17.144117647058824,31.252941176470586,34,1.2198392350032992
6,-13.036363636363635,35.352525252525254,99,0.7862982788822627
7,-8.868867924528303,36.4122641509434,106,0.8578747877964052
8,-4.478651685393259,36.17303370786517,89,1.0780789624831209
9,-1.0310077519379846,37.379069767441855,129,1.0019292644650755
10,2.8120879120879123,37.60879120879121,91,1.1210938409099058
11,7.2060344827586205,39.96293103448276,116,1.203198841228188
12,11.111560693641618,44.12080924855491,173,0.9820516773224742
13,15.03801652892562,44.836363636363636,121,1.335778061768882
14,19.448979591836736,50.10884353741496,147,1.4516793591120096
15,23.087841191066996,47.43498759305211,403,0.9087817152571981
16,28.05514018691589,47.86728971962617,107,2.167621245767997
17,30.86530612244898,52.211836734693875,245,1.4033570828308708
18,35.61954022988506,62.07183908045977,174,1.5670636212929139
19,39.67218934911242,52.08007889546351,507,0.9895846671039239
