outcome,chinese,h,n,effect,se,t,p,pct,mean
academic_reputation,学术声誉,5,75,-3.92,4.53,-0.87,0.3895,-12.8,30.6
academic_reputation,学术声誉,8,86,-7.05,4.12,-1.71,0.0911,-22.8,30.9
academic_reputation,学术声誉,10,120,-0.05,3.39,-0.02,0.9874,-0.2,31.1
academic_reputation,学术声誉,12,148,2.29,2.98,0.77,0.4438,7.3,31.4
academic_reputation,学术声誉,15,165,0.54,2.77,0.19,0.8462,1.8,30.7
employer_reputation,雇主声誉,5,75,6.69,4.79,1.4,0.1665,25.3,26.5
employer_reputation,雇主声誉,8,86,9.6,4.28,2.24,0.0278,36.1,26.6
employer_reputation,雇主声誉,10,120,8.76,3.72,2.35,0.0202,29.3,29.9
employer_reputation,雇主声誉,12,148,12.25,3.39,3.61,0.0004,39.8,30.8
employer_reputation,雇主声誉,15,165,9.43,3.28,2.87,0.0046,30.1,31.4
intl_students,国际生,5,75,27.57,6.59,4.18,0.0001,120.1,23.0
intl_students,国际生,8,86,36.5,6.08,6.0,0.0,128.4,28.4
intl_students,国际生,10,120,38.94,5.29,7.36,0.0,145.2,26.8
intl_students,国际生,12,148,27.81,4.7,5.91,0.0,84.6,32.9
intl_students,国际生,15,165,29.74,4.9,6.07,0.0,86.6,34.4
intl_faculty,国际师资,5,73,-11.13,8.55,-1.3,0.1975,-33.0,33.7
intl_faculty,国际师资,8,84,-5.42,7.99,-0.68,0.4999,-13.3,40.6
intl_faculty,国际师资,10,118,11.36,6.94,1.64,0.1043,30.5,37.2
intl_faculty,国际师资,12,146,1.93,6.12,0.32,0.7526,4.5,43.0
intl_faculty,国际师资,15,163,10.7,5.82,1.84,0.0678,22.9,46.6
citations,引用率,5,75,12.94,4.97,2.6,0.0112,33.3,38.8
citations,引用率,8,86,-28.6,5.65,-5.06,0.0,-73.5,38.9
citations,引用率,10,120,-39.01,4.68,-8.34,0.0,-115.2,33.9
citations,引用率,12,148,-38.24,4.16,-9.2,0.0,-117.5,32.6
citations,引用率,15,165,-36.57,3.79,-9.66,0.0,-119.3,30.7
faculty_student,师生比,5,75,37.17,8.04,4.63,0.0,97.0,38.3
faculty_student,师生比,8,86,41.53,7.11,5.84,0.0,102.3,40.6
faculty_student,师生比,10,120,34.31,5.79,5.92,0.0,87.9,39.0
faculty_student,师生比,12,148,32.51,4.87,6.68,0.0,83.0,39.1
faculty_student,师生比,15,165,34.37,4.6,7.47,0.0,87.9,39.1
employment,就业成果,5,75,2.62,7.15,0.37,0.7156,9.0,28.9
employment,就业成果,8,86,-2.98,6.43,-0.46,0.6447,-9.6,30.9
employment,就业成果,10,120,10.61,5.54,1.92,0.0579,31.1,34.1
employment,就业成果,12,148,16.07,4.74,3.39,0.0009,47.3,34.0
employment,就业成果,15,165,10.99,4.55,2.41,0.0169,32.5,33.8
sustainability,可持续性,5,75,-21.28,7.62,-2.79,0.0067,-54.3,39.2
sustainability,可持续性,8,86,-25.23,6.82,-3.7,0.0004,-61.4,41.1
sustainability,可持续性,10,120,-0.95,6.11,-0.16,0.877,-2.2,43.0
sustainability,可持续性,12,148,-0.09,5.25,-0.02,0.9867,-0.2,44.4
sustainability,可持续性,15,165,-7.73,4.98,-1.55,0.1227,-18.6,41.6
intl_research,国际科研网络,5,75,-10.19,5.32,-1.92,0.0595,-14.6,69.6
intl_research,国际科研网络,8,86,-17.06,4.71,-3.62,0.0005,-24.0,71.0
intl_research,国际科研网络,10,120,4.87,4.69,1.04,0.3016,7.1,68.3
intl_research,国际科研网络,12,148,-1.26,4.23,-0.3,0.7665,-1.9,67.7
intl_research,国际科研网络,15,165,-6.57,4.09,-1.61,0.1103,-10.1,65.0
