year,country,top_uni,top_rank,score_gap,entered
2017,United States,Massachusetts Institute of Technology (MIT) ,1,36.9,1
2017,United Kingdom,University of Cambridge,4,34.1,1
2017,Switzerland,ETH Zurich - Swiss Federal Institute of Technology,8,31.1,1
2017,Singapore,National University of Singapore (NUS),12,28.4,1
2017,Australia,The Australian National University,22,24.2,1
2017,Hong Kong SAR,The University of Hong Kong,27,22.3,1
2017,Canada,McGill University,30,21.0,1
2017,France,"Ecole normale supérieure, Paris",33,19.8,1
2017,Japan,The University of Tokyo,34,19.5,1
2017,South Korea,Seoul National University,35,19.0,1
2017,China (Mainland),Peking University,39,18.2,1
2017,Netherlands,University of Amsterdam,57,11.2,1
2017,Germany,Technical University of Munich,60,9.3,1
2017,Sweden,Lund University,73,6.0,1
2017,Belgium,KU Leuven,79,4.8,1
2017,New Zealand,The University of Auckland,81,4.2,1
2017,Finland,University of Helsinki,91,1.6,1
2017,Russia,Lomonosov Moscow State University,108,-1.0,0
2017,Denmark,Technical University of Denmark,109,-1.3,0
2017,Chile,Pontificia Universidad Católica de Chile (UC),147,-8.4,0
2017,Israel,The Hebrew University of Jerusalem,148,-8.9,0
2017,Taiwan,National Tsing Hua University,151,-9.2,0
2017,Saudi Arabia,King Fahd University of Petroleum & Minerals,189,-14.8,0
2017,Italy,Alma Mater Studiorum - University of Bologna,208,-17.1,0
2017,India,Indian Institute of Technology Bombay (IITB),219,-18.5,0
2018,United States,Massachusetts Institute of Technology (MIT) ,1,35.4,1
2018,United Kingdom,University of Cambridge,5,31.0,1
2018,Switzerland,ETH Zurich - Swiss Federal Institute of Technology,10,28.7,1
2018,Singapore,"Nanyang Technological University, Singapore (NTU)",11,27.6,1
2018,Australia,The Australian National University,20,22.5,1
2018,China (Mainland),Tsinghua University,25,21.0,1
2018,Hong Kong SAR,The University of Hong Kong,26,20.9,1
2018,Canada,University of Toronto,31,19.4,1
2018,France,"Ecole normale supérieure, Paris",43,15.3,1
2018,Netherlands,Delft University of Technology,54,11.5,1
2018,Japan,Tokyo Institute of Technology (Tokyo Tech),56,10.2,1
2018,Germany,Technical University of Munich,64,7.4,1
2018,Argentina,Universidad de Buenos Aires (UBA),75,4.5,1
2018,Ireland,"Trinity College Dublin, The University of Dublin",88,1.1,1
2018,South Korea,Yonsei University,106,-2.3,0
2018,Sweden,Uppsala University,112,-3.2,0
2018,Denmark,Aarhus University,119,-5.3,0
2018,Brazil,Universidade de São Paulo,121,-5.5,0
2018,New Zealand,University of Otago,151,-10.4,0
2018,Austria,University of Vienna,154,-11.3,0
2018,Spain,Universitat de Barcelona,156,-11.7,0
2018,Italy,Politecnico di Milano,170,-13.7,0
2018,India,Indian Institute of Technology Delhi (IITD),172,-13.9,0
2018,Taiwan,National Cheng Kung University (NCKU),222,-20.3,0
2018,Malaysia,Universiti Putra Malaysia (UPM),229,-21.0,0
2018,Finland,University of Turku,276,-25.3,0
2019,United States,Massachusetts Institute of Technology (MIT) ,1,39.2,1
2019,United Kingdom,University of Oxford,5,36.0,1
2019,Switzerland,ETH Zurich - Swiss Federal Institute of Technology,7,34.5,1
2019,Singapore,National University of Singapore (NUS),11,31.2,1
2019,China (Mainland),Tsinghua University,17,26.4,1
2019,Japan,The University of Tokyo,23,24.5,1
2019,Australia,The Australian National University,24,23.6,1
2019,Hong Kong SAR,The University of Hong Kong,25,23.5,1
2019,Canada,University of Toronto,28,22.2,1
2019,South Korea,Seoul National University,36,19.8,1
2019,France,Université PSL,50,14.3,1
2019,Netherlands,Delft University of Technology,52,12.5,1
2019,Germany,Technical University of Munich,61,9.2,1
2019,Taiwan,National Taiwan University (NTU),72,5.5,1
2019,Belgium,KU Leuven,81,2.6,1
2019,New Zealand,The University of Auckland,85,2.0,1
2019,Russia,Lomonosov Moscow State University,90,1.5,1
2019,Sweden,Lund University,92,1.3,1
2019,Finland,University of Helsinki,110,-2.9,0
2019,Mexico,Universidad Nacional Autónoma de México  (UNAM),113,-4.0,0
2019,Brazil,Universidade de São Paulo,118,-5.3,0
2019,Norway,University of Oslo,135,-8.9,0
2019,Spain,Universidad Autónoma de Madrid,159,-12.3,0
2019,India,Indian Institute of Technology Bombay (IITB),162,-12.6,0
2019,Italy,Sant'Anna - Scuola Universitaria Superiore Pisa,167,-13.1,0
2019,Saudi Arabia,King Fahd University of Petroleum & Minerals,189,-15.7,0
2019,Malaysia,Universiti Putra Malaysia (UPM),202,-17.0,0
2019,Kazakhstan,Al-Farabi Kazakh National University,220,-19.5,0
